Year,BA,Scenario,Threshold,Peak_Load,Hours_Above_Threshold,Percent_Above_Threshold
1980,AEC,historic,0.9,384.66,4.0,0.04553734061930783
1980,AECI,historic,0.9,1549.42,18.0,0.20491803278688525
1980,AVA,historic,0.9,1227.54,67.0,0.7627504553734062
1980,AZPS,historic,0.9,1783.57,117.0,1.331967213114754
1980,BANC,historic,0.9,1684.58,38.0,0.4326047358834244
1980,BPAT,historic,0.9,5749.95,33.0,0.3756830601092896
1980,CHPD,historic,0.9,280.59,37.0,0.42122040072859745
1980,CISO,historic,0.9,18262.98,67.0,0.7627504553734062
1980,CPLE,historic,0.9,4450.97,9.0,0.10245901639344263
1980,DOPD,historic,0.9,214.19,38.0,0.4326047358834244
1980,DUK,historic,0.9,6919.67,50.0,0.5692167577413478
1980,EPE,historic,0.9,520.93,105.0,1.1953551912568305
1980,ERCO,historic,0.9,20498.56,108.0,1.2295081967213115
1980,FMPP,historic,0.9,859.26,268.0,3.051001821493625
1980,FPC,historic,0.9,2773.97,152.0,1.7304189435336976
1980,FPL,historic,0.9,5767.64,417.0,4.747267759562841
1980,GCPD,historic,0.9,456.72,98.0,1.1156648451730418
1980,GVL,historic,0.9,106.83,46.0,0.5236794171220401
1980,HST,historic,0.9,24.92,596.0,6.785063752276867
1980,IID,historic,0.9,407.58,28.0,0.31876138433515483
1980,IPCO,historic,0.9,1430.94,49.0,0.5578324225865209
1980,ISNE,historic,0.9,11019.78,67.0,0.7627504553734062
1980,JEA,historic,0.9,704.96,16.0,0.18214936247723132
1980,LDWP,historic,0.9,2479.9,72.0,0.819672131147541
1980,LGEE,historic,0.9,3357.43,90.0,1.0245901639344261
1980,MISO,historic,0.9,43890.92,112.0,1.2750455373406193
1980,NEVP,historic,0.9,1974.59,94.0,1.0701275045537342
1980,NSB,historic,0.9,24.94,14.0,0.15938069216757741
1980,NWMT,historic,0.9,814.97,178.0,2.0264116575591986
1980,NYIS,historic,0.9,13263.08,56.0,0.6375227686703097
1980,PACE,historic,0.9,2514.7,166.0,1.889799635701275
1980,PACW,historic,0.9,1792.01,24.0,0.273224043715847
1980,PGE,historic,0.9,1835.93,53.0,0.6033697632058288
1980,PJM,historic,0.9,73286.54,92.0,1.0473588342440803
1980,PNM,historic,0.9,705.85,163.0,1.855646630236794
1980,PSCO,historic,0.9,1981.5,102.0,1.1612021857923498
1980,PSEI,historic,0.9,3130.79,88.0,1.0018214936247722
1980,SC,historic,0.9,2130.64,5.0,0.056921675774134796
1980,SCEG,historic,0.9,1981.23,5.0,0.056921675774134796
1980,SCL,historic,0.9,1003.32,133.0,1.5141165755919854
1980,SEC,historic,0.9,72.64,19.0,0.2163023679417122
1980,SOCO,historic,0.9,13637.41,169.0,1.923952641165756
1980,SPA,historic,0.9,37.77,92.0,1.0473588342440803
1980,SRP,historic,0.9,1728.47,150.0,1.707650273224044
1980,SWPP,historic,0.9,16559.09,156.0,1.7759562841530054
1980,TAL,historic,0.9,144.13,80.0,0.9107468123861567
1980,TEC,historic,0.9,1019.61,356.0,4.052823315118397
1980,TEPC,historic,0.9,801.04,65.0,0.7399817850637522
1980,TIDC,historic,0.9,245.94,52.0,0.5919854280510018
1980,TPWR,historic,0.9,538.94,69.0,0.7855191256830601
1980,TVA,historic,0.9,15743.01,43.0,0.48952641165755917
1980,WACM,historic,0.9,1165.66,189.0,2.151639344262295
1980,WALC,historic,0.9,529.28,226.0,2.5728597449908923
1980,WAUW,historic,0.9,68.36,74.0,0.8424408014571949
1981,AEC,historic,0.9,439.2,13.0,0.14840182648401826
1981,AECI,historic,0.9,1937.2,6.0,0.0684931506849315
1981,AVA,historic,0.9,1260.28,25.0,0.28538812785388123
1981,AZPS,historic,0.9,1981.87,72.0,0.821917808219178
1981,BANC,historic,0.9,1790.86,44.0,0.502283105022831
1981,BPAT,historic,0.9,5750.61,5.0,0.05707762557077625
1981,CHPD,historic,0.9,270.86,5.0,0.05707762557077625
1981,CISO,historic,0.9,19785.17,38.0,0.4337899543378996
1981,CPLE,historic,0.9,4911.75,17.0,0.19406392694063926
1981,DOPD,historic,0.9,205.21,11.0,0.12557077625570776
1981,DUK,historic,0.9,7564.85,104.0,1.187214611872146
1981,EPE,historic,0.9,605.33,38.0,0.4337899543378996
1981,ERCO,historic,0.9,21321.43,140.0,1.5981735159817352
1981,FMPP,historic,0.9,1037.34,96.0,1.095890410958904
1981,FPC,historic,0.9,3569.29,5.0,0.05707762557077625
1981,FPL,historic,0.9,6694.16,373.0,4.257990867579909
1981,GCPD,historic,0.9,501.78,165.0,1.8835616438356164
1981,GVL,historic,0.9,126.52,53.0,0.6050228310502284
1981,HST,historic,0.9,28.46,590.0,6.735159817351597
1981,IID,historic,0.9,453.36,20.0,0.228310502283105
1981,IPCO,historic,0.9,1539.88,93.0,1.0616438356164384
1981,ISNE,historic,0.9,12145.94,52.0,0.593607305936073
1981,JEA,historic,0.9,970.94,5.0,0.05707762557077625
1981,LDWP,historic,0.9,2782.04,25.0,0.28538812785388123
1981,LGEE,historic,0.9,3587.69,43.0,0.4908675799086758
1981,MISO,historic,0.9,47167.72,133.0,1.5182648401826484
1981,NEVP,historic,0.9,2215.83,103.0,1.1757990867579908
1981,NSB,historic,0.9,30.37,4.0,0.045662100456621
1981,NWMT,historic,0.9,868.59,77.0,0.8789954337899543
1981,NYIS,historic,0.9,14625.21,37.0,0.4223744292237443
1981,PACE,historic,0.9,2827.52,141.0,1.6095890410958904
1981,PACW,historic,0.9,1723.55,73.0,0.8333333333333334
1981,PGE,historic,0.9,2096.13,26.0,0.2968036529680365
1981,PJM,historic,0.9,78574.28,52.0,0.593607305936073
1981,PNM,historic,0.9,790.63,124.0,1.4155251141552512
1981,PSCO,historic,0.9,2269.33,73.0,0.8333333333333334
1981,PSEI,historic,0.9,3221.35,31.0,0.3538812785388128
1981,SC,historic,0.9,2089.46,18.0,0.2054794520547945
1981,SCEG,historic,0.9,1978.23,93.0,1.0616438356164384
1981,SCL,historic,0.9,1029.53,42.0,0.4794520547945206
1981,SEC,historic,0.9,114.03,5.0,0.05707762557077625
1981,SOCO,historic,0.9,15170.54,160.0,1.82648401826484
1981,SPA,historic,0.9,45.11,12.0,0.136986301369863
1981,SRP,historic,0.9,1919.11,120.0,1.36986301369863
1981,SWPP,historic,0.9,17846.18,129.0,1.4726027397260275
1981,TAL,historic,0.9,173.56,54.0,0.6164383561643836
1981,TEC,historic,0.9,1212.77,198.0,2.26027397260274
1981,TEPC,historic,0.9,851.54,101.0,1.1529680365296804
1981,TIDC,historic,0.9,256.75,66.0,0.7534246575342466
1981,TPWR,historic,0.9,530.09,66.0,0.7534246575342466
1981,TVA,historic,0.9,17076.22,13.0,0.14840182648401826
1981,WACM,historic,0.9,1296.23,242.0,2.7625570776255706
1981,WALC,historic,0.9,599.77,159.0,1.8150684931506849
1981,WAUW,historic,0.9,71.9,84.0,0.9589041095890412
1982,AEC,historic,0.9,648.8,6.0,0.0684931506849315
1982,AECI,historic,0.9,2319.54,16.0,0.182648401826484
1982,AVA,historic,0.9,1493.81,18.0,0.2054794520547945
1982,AZPS,historic,0.9,2193.06,51.0,0.5821917808219178
1982,BANC,historic,0.9,1884.34,42.0,0.4794520547945206
1982,BPAT,historic,0.9,6706.71,14.0,0.15981735159817353
1982,CHPD,historic,0.9,323.96,11.0,0.12557077625570776
1982,CISO,historic,0.9,21059.59,80.0,0.91324200913242
1982,CPLE,historic,0.9,5932.31,22.0,0.2511415525114155
1982,DOPD,historic,0.9,241.06,35.0,0.3995433789954338
1982,DUK,historic,0.9,9264.3,14.0,0.15981735159817353
1982,EPE,historic,0.9,618.18,112.0,1.2785388127853883
1982,ERCO,historic,0.9,23881.47,159.0,1.8150684931506849
1982,FMPP,historic,0.9,1189.37,28.0,0.31963470319634707
1982,FPC,historic,0.9,4157.19,16.0,0.182648401826484
1982,FPL,historic,0.9,7462.3,424.0,4.840182648401827
1982,GCPD,historic,0.9,528.39,135.0,1.5410958904109588
1982,GVL,historic,0.9,142.57,23.0,0.2625570776255708
1982,HST,historic,0.9,32.76,518.0,5.9132420091324205
1982,IID,historic,0.9,457.37,79.0,0.9018264840182649
1982,IPCO,historic,0.9,1608.15,72.0,0.821917808219178
1982,ISNE,historic,0.9,14008.31,18.0,0.2054794520547945
1982,JEA,historic,0.9,1172.7,12.0,0.136986301369863
1982,LDWP,historic,0.9,2982.94,52.0,0.593607305936073
1982,LGEE,historic,0.9,4046.69,44.0,0.502283105022831
1982,MISO,historic,0.9,50561.49,188.0,2.146118721461187
1982,NEVP,historic,0.9,2358.34,111.0,1.2671232876712328
1982,NSB,historic,0.9,37.02,9.0,0.10273972602739725
1982,NWMT,historic,0.9,932.37,181.0,2.0662100456621
1982,NYIS,historic,0.9,15512.06,47.0,0.5365296803652968
1982,PACE,historic,0.9,3107.86,102.0,1.1643835616438356
1982,PACW,historic,0.9,2111.42,10.0,0.1141552511415525
1982,PGE,historic,0.9,2066.67,41.0,0.46803652968036524
1982,PJM,historic,0.9,81435.08,144.0,1.643835616438356
1982,PNM,historic,0.9,853.09,130.0,1.4840182648401825
1982,PSCO,historic,0.9,2427.63,82.0,0.9360730593607305
1982,PSEI,historic,0.9,3655.94,34.0,0.3881278538812785
1982,SC,historic,0.9,2647.63,18.0,0.2054794520547945
1982,SCEG,historic,0.9,2558.06,7.0,0.07990867579908677
1982,SCL,historic,0.9,1197.0,36.0,0.410958904109589
1982,SEC,historic,0.9,134.55,16.0,0.182648401826484
1982,SOCO,historic,0.9,20900.58,7.0,0.07990867579908677
1982,SPA,historic,0.9,49.88,50.0,0.5707762557077625
1982,SRP,historic,0.9,2109.05,100.0,1.141552511415525
1982,SWPP,historic,0.9,19032.44,132.0,1.5068493150684932
1982,TAL,historic,0.9,241.41,6.0,0.0684931506849315
1982,TEC,historic,0.9,1399.38,84.0,0.9589041095890412
1982,TEPC,historic,0.9,962.63,50.0,0.5707762557077625
1982,TIDC,historic,0.9,274.74,57.0,0.6506849315068494
1982,TPWR,historic,0.9,622.54,29.0,0.3310502283105023
1982,TVA,historic,0.9,20682.1,30.0,0.3424657534246575
1982,WACM,historic,0.9,1407.55,422.0,4.8173515981735155
1982,WALC,historic,0.9,623.44,233.0,2.6598173515981736
1982,WAUW,historic,0.9,80.86,53.0,0.6050228310502284
1983,AEC,historic,0.9,502.45,21.0,0.2397260273972603
1983,AECI,historic,0.9,2405.08,52.0,0.593607305936073
1983,AVA,historic,0.9,1480.18,100.0,1.141552511415525
1983,AZPS,historic,0.9,2365.48,71.0,0.8105022831050228
1983,BANC,historic,0.9,2128.54,34.0,0.3881278538812785
1983,BPAT,historic,0.9,7333.43,61.0,0.6963470319634704
1983,CHPD,historic,0.9,310.75,55.0,0.6278538812785388
1983,CISO,historic,0.9,23943.74,47.0,0.5365296803652968
1983,CPLE,historic,0.9,5389.23,126.0,1.4383561643835616
1983,DOPD,historic,0.9,254.67,67.0,0.7648401826484018
1983,DUK,historic,0.9,8921.48,126.0,1.4383561643835616
1983,EPE,historic,0.9,674.23,109.0,1.2442922374429224
1983,ERCO,historic,0.9,25677.63,81.0,0.9246575342465754
1983,FMPP,historic,0.9,1266.43,213.0,2.4315068493150687
1983,FPC,historic,0.9,4040.96,180.0,2.054794520547945
1983,FPL,historic,0.9,8655.36,232.0,2.6484018264840183
1983,GCPD,historic,0.9,564.06,165.0,1.8835616438356164
1983,GVL,historic,0.9,153.15,122.0,1.3926940639269407
1983,HST,historic,0.9,37.06,456.0,5.205479452054795
1983,IID,historic,0.9,500.02,73.0,0.8333333333333334
1983,IPCO,historic,0.9,1810.8,57.0,0.6506849315068494
1983,ISNE,historic,0.9,14400.76,92.0,1.0502283105022832
