Scenario,Year,BA,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1980.0,AEC,1.54551806,384.66,0.323,0.376
historic,1980.0,AECI,6.81083045,1549.42,0.321,0.286
historic,1980.0,AVA,6.09924776,1227.54,0.463,0.503
historic,1980.0,AZPS,7.44883996,1783.57,0.226,0.228
historic,1980.0,BANC,6.589487849999999,1684.58,0.356,0.383
historic,1980.0,BPAT,28.45764759,5749.95,0.471,0.53
historic,1980.0,CHPD,0.99959497,280.59,0.495,0.574
historic,1980.0,CISO,88.06376612999999,18262.98,0.357,0.381
historic,1980.0,CPLE,19.852292690000002,4450.97,0.333,0.364
historic,1980.0,DOPD,0.8783438499999999,214.19,0.489,0.568
historic,1980.0,DUK,34.54665331,6919.67,0.328,0.355
historic,1980.0,EPE,2.32408871,520.93,0.286,0.289
historic,1980.0,ERCO,98.56859647,20498.56,0.299,0.31
historic,1980.0,FMPP,4.4904981600000005,859.26,0.227,0.225
historic,1980.0,FPC,13.38855626,2773.97,0.227,0.228
historic,1980.0,FPL,30.83347086,5767.64,0.225,0.222
historic,1980.0,GCPD,2.7948624,456.72,0.49,0.506
historic,1980.0,GVL,0.49304355,106.83,0.227,0.233
historic,1980.0,HST,0.13612682999999998,24.92,0.222,0.226
historic,1980.0,IID,1.37376133,407.58,0.359,0.378
historic,1980.0,IPCO,6.80695376,1430.94,0.394,0.393
historic,1980.0,ISNE,57.12112422,11019.78,0.399,0.398
historic,1980.0,JEA,3.2750735499999997,704.96,0.231,0.251
historic,1980.0,LDWP,11.008426570000001,2479.9,0.362,0.371
historic,1980.0,LGEE,17.19081663,3357.43,0.548,0.538
historic,1980.0,MISO,247.01226636,43890.92,0.366,0.369
historic,1980.0,NEVP,8.77163902,1974.59,0.211,0.219
historic,1980.0,NSB,0.10340602,24.94,0.228,0.251
historic,1980.0,NWMT,4.978130019999999,814.97,0.519,0.534
historic,1980.0,NYIS,67.34828827,13263.08,0.409,0.424
historic,1980.0,PACE,14.74557434,2514.7,0.277,0.275
historic,1980.0,PACW,9.26428258,1792.01,0.417,0.481
historic,1980.0,PGE,9.586669050000001,1835.93,0.445,0.477
historic,1980.0,PJM,366.80403561,73286.54,0.436,0.431
historic,1980.0,PNM,3.85897194,705.85,0.258,0.259
historic,1980.0,PSCO,10.704322300000001,1981.5,0.247,0.24
historic,1980.0,PSEI,16.31842083,3130.79,0.494,0.544
historic,1980.0,SC,8.79908459,2130.64,0.329,0.426
historic,1980.0,SCEG,9.02188208,1981.23,0.325,0.379
historic,1980.0,SCL,5.3984065999999995,1003.32,0.497,0.544
historic,1980.0,SEC,0.34673588,72.64,0.231,0.234
historic,1980.0,SOCO,70.6230983,13637.41,0.304,0.31
historic,1980.0,SPA,0.20526238,37.77,0.311,0.3
historic,1980.0,SRP,7.1692706500000005,1728.47,0.227,0.232
historic,1980.0,SWPP,84.96720117,16559.09,0.311,0.325
historic,1980.0,TAL,0.69030096,144.13,0.229,0.238
historic,1980.0,TEC,5.35767609,1019.61,0.226,0.226
historic,1980.0,TEPC,3.4481207400000002,801.04,0.228,0.236
historic,1980.0,TIDC,1.0197784,245.94,0.357,0.388
historic,1980.0,TPWR,2.69354455,538.94,0.496,0.56
historic,1980.0,TVA,77.98314762000001,15743.01,0.457,0.483
historic,1980.0,WACM,7.42420921,1165.66,0.271,0.276
historic,1980.0,WALC,2.96124141,529.28,0.306,0.306
historic,1980.0,WAUW,0.36594924,68.36,0.479,0.493
historic,1981.0,AEC,1.70902398,439.2,0.357,0.429
historic,1981.0,AECI,7.39620488,1937.2,0.348,0.358
historic,1981.0,AVA,6.5963926100000005,1260.28,0.5,0.516
historic,1981.0,AZPS,8.40107163,1981.87,0.255,0.253
historic,1981.0,BANC,7.3819927199999995,1790.86,0.399,0.407
historic,1981.0,BPAT,30.901950120000002,5750.61,0.511,0.53
historic,1981.0,CHPD,1.07491755,270.86,0.532,0.555
historic,1981.0,CISO,97.57141206,19785.17,0.396,0.413
historic,1981.0,CPLE,21.90164967,4911.75,0.367,0.401
historic,1981.0,DOPD,0.93226836,205.21,0.519,0.544
historic,1981.0,DUK,38.264994890000004,7564.85,0.364,0.389
historic,1981.0,EPE,2.6009945,605.33,0.32,0.336
historic,1981.0,ERCO,108.88236846,21321.43,0.331,0.323
historic,1981.0,FMPP,5.17462047,1037.34,0.262,0.272
historic,1981.0,FPC,15.55040843,3569.29,0.264,0.294
historic,1981.0,FPL,35.36309689,6694.16,0.258,0.258
historic,1981.0,GCPD,3.02951531,501.78,0.531,0.556
historic,1981.0,GVL,0.57333518,126.52,0.264,0.276
historic,1981.0,HST,0.15386743,28.46,0.251,0.259
historic,1981.0,IID,1.5599403200000002,453.36,0.407,0.421
historic,1981.0,IPCO,7.46385698,1539.88,0.432,0.423
historic,1981.0,ISNE,63.980402,12145.94,0.446,0.439
historic,1981.0,JEA,3.80763579,970.94,0.268,0.346
historic,1981.0,LDWP,12.212051429999999,2782.04,0.402,0.416
historic,1981.0,LGEE,18.08141272,3587.69,0.577,0.575
historic,1981.0,MISO,271.37602551,47167.73,0.402,0.397
historic,1981.0,NEVP,9.97084549,2215.83,0.24,0.246
historic,1981.0,NSB,0.12044993,30.37,0.266,0.305
historic,1981.0,NWMT,5.37231834,868.59,0.56,0.57
historic,1981.0,NYIS,74.47322012000001,14625.21,0.452,0.467
historic,1981.0,PACE,16.41865614,2827.52,0.308,0.309
historic,1981.0,PACW,10.12205213,1723.56,0.455,0.462
historic,1981.0,PGE,10.509211839999999,2096.13,0.488,0.544
historic,1981.0,PJM,398.47713717,78574.28,0.474,0.462
historic,1981.0,PNM,4.3720995899999995,790.63,0.292,0.29
historic,1981.0,PSCO,12.09408549,2269.33,0.279,0.274
historic,1981.0,PSEI,17.82485268,3221.35,0.54,0.56
historic,1981.0,SC,9.753962900000001,2089.46,0.364,0.418
historic,1981.0,SCEG,9.96953072,1978.23,0.36,0.378
historic,1981.0,SCL,5.888704280000001,1029.53,0.542,0.558
